Date,SecurityID,Price,Quantity
6/4/2017 12:00:00 AM,1,40.652783109086,41030
6/25/2017 12:00:00 AM,1,34.7617455974043,-92863
6/3/2017 12:00:00 AM,1,38.4309295295882,-70670
6/21/2017 12:00:00 AM,1,39.2398096576518,84421
6/24/2017 12:00:00 AM,1,39.7155606957691,17516
6/8/2017 12:00:00 AM,1,35.9841004277505,69966
6/6/2017 12:00:00 AM,1,38.2704006010994,-74255
6/14/2017 12:00:00 AM,1,39.368522983216,-59840
6/15/2017 12:00:00 AM,1,39.082203527392,63762
6/19/2017 12:00:00 AM,1,41.1406623195581,75184
6/17/2017 12:00:00 AM,2,61.3687951582339,84543
6/12/2017 12:00:00 AM,2,56.8475865073724,24133
6/12/2017 12:00:00 AM,2,57.9162955788506,-32797
6/18/2017 12:00:00 AM,2,56.6414440638579,93204
6/11/2017 12:00:00 AM,2,57.0565626976344,-8602
6/26/2017 12:00:00 AM,2,58.9459366353908,-33552
6/23/2017 12:00:00 AM,2,57.687518167164,76254
6/22/2017 12:00:00 AM,2,51.0398041679709,-63727
6/12/2017 12:00:00 AM,2,55.4712118388485,98291
6/13/2017 12:00:00 AM,2,54.6225860522234,-58692
6/28/2017 12:00:00 AM,2,61.2591720013223,33286
6/15/2017 12:00:00 AM,2,59.3711308606766,64972
6/3/2017 12:00:00 AM,2,54.3873833641351,-93656
6/24/2017 12:00:00 AM,3,58.7861797722458,51656
6/7/2017 12:00:00 AM,3,67.4308954514241,71625
6/1/2017 12:00:00 AM,3,63.17589061925,74797
6/5/2017 12:00:00 AM,3,62.1231689418774,27415
6/27/2017 12:00:00 AM,3,64.322088813792,7430
6/21/2017 12:00:00 AM,3,61.9815847789783,23946
6/22/2017 12:00:00 AM,3,65.3938199593191,-33781
6/24/2017 12:00:00 AM,3,65.9716329772359,73845
6/28/2017 12:00:00 AM,3,63.3200268574618,10107
6/6/2017 12:00:00 AM,3,64.5643123183699,-68481
6/3/2017 12:00:00 AM,3,61.9378153283325,5912
6/24/2017 12:00:00 AM,4,83.5927605051513,-4212
6/17/2017 12:00:00 AM,5,53.9369280649055,-14662
6/25/2017 12:00:00 AM,5,56.6280091899578,-95185
6/23/2017 12:00:00 AM,5,50.6589191281511,14581
6/27/2017 12:00:00 AM,5,60.1378324382649,-92878
6/17/2017 12:00:00 AM,5,50.9799287415016,-55631
6/27/2017 12:00:00 AM,5,55.6665376102862,-46579
6/3/2017 12:00:00 AM,5,56.3443869007492,-50772
6/14/2017 12:00:00 AM,5,58.6778674234999,-9739
6/26/2017 12:00:00 AM,5,60.637224975525,5962
6/26/2017 12:00:00 AM,5,55.8731761615133,8670
6/21/2017 12:00:00 AM,5,59.5206610323492,-79006
6/1/2017 12:00:00 AM,5,60.4463688882284,-87980
6/11/2017 12:00:00 AM,5,57.1012542036833,56659
6/20/2017 12:00:00 AM,6,25.6474060492811,-76253
6/26/2017 12:00:00 AM,6,26.5320046114419,-22198
6/18/2017 12:00:00 AM,6,25.6535524200897,-45567
6/1/2017 12:00:00 AM,6,27.1505082955353,51096
6/2/2017 12:00:00 AM,6,26.3882483171244,-50192
6/12/2017 12:00:00 AM,6,27.0878014066665,-70824
6/25/2017 12:00:00 AM,6,30.2355935166756,66041
6/1/2017 12:00:00 AM,6,28.0286311600491,16813
6/20/2017 12:00:00 AM,6,27.6422963099751,93434
6/4/2017 12:00:00 AM,6,25.8154338502397,63957
6/18/2017 12:00:00 AM,6,28.7121121154689,29625
6/6/2017 12:00:00 AM,6,30.2209621907309,32500
6/6/2017 12:00:00 AM,6,28.3212084937474,-4096
6/28/2017 12:00:00 AM,6,25.2334868768386,-79792
6/26/2017 12:00:00 AM,6,27.2283714253588,98034
6/4/2017 12:00:00 AM,6,25.4487608894001,-91273
6/23/2017 12:00:00 AM,6,28.598502527456,12884
6/9/2017 12:00:00 AM,7,67.4706026480396,-84478
6/17/2017 12:00:00 AM,7,66.9891296034628,-22700
6/13/2017 12:00:00 AM,7,64.9917603313419,-23378
6/18/2017 12:00:00 AM,7,59.1527438773088,42228
6/26/2017 12:00:00 AM,8,23.0220961327767,-16666
6/7/2017 12:00:00 AM,8,21.9584744410396,53858
6/15/2017 12:00:00 AM,8,24.3286106342117,-39574
6/21/2017 12:00:00 AM,8,25.6623708494298,83218
6/10/2017 12:00:00 AM,8,21.8544103068553,10893
6/24/2017 12:00:00 AM,9,14.4385255430539,-87595
6/28/2017 12:00:00 AM,9,15.0914233576466,-81070
6/21/2017 12:00:00 AM,9,13.9618123834775,-81983
6/16/2017 12:00:00 AM,9,14.9597811642847,14672
6/17/2017 12:00:00 AM,9,15.5537990734697,-98735
6/17/2017 12:00:00 AM,9,13.8434540069864,49203
6/29/2017 12:00:00 AM,9,16.3582018443189,-10030
6/15/2017 12:00:00 AM,9,16.0496007881824,6170
6/1/2017 12:00:00 AM,9,16.154005315925,-43776
6/29/2017 12:00:00 AM,10,28.4964278942423,95305
6/21/2017 12:00:00 AM,10,30.3147030308445,16704
6/8/2017 12:00:00 AM,10,26.7218643370652,-76461
6/10/2017 12:00:00 AM,10,29.7535749428689,-71403
6/9/2017 12:00:00 AM,10,29.3095790366221,94924
6/25/2017 12:00:00 AM,10,27.6101680100012,-97093
6/19/2017 12:00:00 AM,10,26.7732172874609,-8046
6/5/2017 12:00:00 AM,10,28.0279680172112,76432
